Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price
2025-10-01,booking.com,2,2025-10-10,2025-10-13,BIG Oasis Studio near Airport YYZ,Toronto,Studio,10.3 miles from downtown,N/A,$138
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Stunning Victorian in Downtown,"Cabbagetown, Toronto (Cabbagetown)",Three-Bedroom Townhouse,0.9 miles from downtown,N/A,$776
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Bright Suites Finch West by GLOBALSTAY,"North York, Toronto",One-bedroom Loft Apartment,9.4 miles from downtown,Late Escape Deal,$183
2025-10-01,booking.com,2,2025-10-10,2025-10-13,N7 Castle Green Retreat-Hot Tub,"Etobicoke, Toronto",Three-Bedroom House,8.7 miles from downtown,N/A,$420
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Deluxe Suites at York,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment with City View,0.7 miles from downtown,Late Escape Deal,$214
2025-10-01,booking.com,2,2025-10-10,2025-10-13,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Premier Executive Room with King Bed.,0.5 miles from downtown,N/A,$297
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3 miles from downtown,N/A,$250
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy Downtown 2BR Suite near CN Tower with Balcony,"Entertainment District, Toronto (Entertainment District)",Apartment,0.6 miles from downtown,N/A,$279
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Madison Manor Boutique Hotel,"The Annex, Toronto (The Annex)",Partner offer option,1.5 miles from downtown,N/A,$187
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Gorgeous Condo in Downtown Near CN Tower,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.6 miles from downtown,N/A,$177
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Northwood,"North York, Toronto",Deluxe Queen Room,9.9 miles from downtown,N/A,$97
2025-10-01,booking.com,2,2025-10-10,2025-10-13,"Newly updated 2BR, 2Bath & Den in Downtown Toronto beside Union Station & Scotia Bank Arena!","Entertainment District, Toronto (Entertainment District)",Three-Bedroom Premium Apartment with Balcony,0.7 miles from downtown,N/A,$397
2025-10-01,booking.com,2,2025-10-10,2025-10-13,Cozy house near HWY401 & Go station in Scarborough,"Scarborough, Toronto",Three-Bedroom House,15.4 miles from downtown,N/A,$331
