Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Review Score,Number of Reviews,Rating,Star Rating,Deal Info,Distance from Attraction,Room Type,Location Score,price
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Carlton House,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,King Room,N/A,$124
2025-09-21,booking.com,2,2025-10-03,2025-10-06,KingBed & Bunkbed & Terrace,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Two-Bedroom Apartment,N/A,$262
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Luxurious Spa Retreat - Toronto Escape,"North York, Toronto",N/A,N/A,N/A,N/A,N/A,6.1 miles from downtown,Villa,N/A,$784
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Grand 3 BR Toronto Victorian Entire Home,"Cabbagetown, Toronto (Cabbagetown)",N/A,N/A,N/A,N/A,N/A,0.9 miles from downtown,Three-Bedroom Townhouse,N/A,$409
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Stay Next To Beautiful High Park & ZOO,Toronto,N/A,N/A,N/A,N/A,N/A,4.5 miles from downtown,Deluxe Double Room,N/A,$139
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Spacious & Central 1 bdrm 2 real beds,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.1 miles from downtown,Two-Bedroom Apartment,N/A,$291
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Comfy 1Bdrm plus Den 3 real beds,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.2 miles from downtown,Two-Bedroom Apartment,N/A,$258
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy house near HWY401 & Go station in Scarborough,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,15.4 miles from downtown,Three-Bedroom House,N/A,$334
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Cozy Luxurious Villa in Toronto,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,7.8 miles from downtown,One-Bedroom Villa,N/A,$457
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Cozy 3BR Home with Parking, Backyard and Near Transit","Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,15.9 miles from downtown,Holiday Home,N/A,$217
2025-09-21,booking.com,2,2025-10-03,2025-10-06,FULL APARTMENT FOR 8 PEOPLE- Entertainment District Toronto,"Financial District, Toronto (Financial District)",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Three-Bedroom Apartment,N/A,$297
2025-09-21,booking.com,2,2025-10-03,2025-10-06,"Luxury Home - 5 min from airport, 15 to downtown","Etobicoke, Toronto",N/A,N/A,N/A,N/A,N/A,9 miles from downtown,Villa,N/A,$580
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Exquisite 1 BR suite with study Core Downtown,Toronto,N/A,N/A,N/A,N/A,N/A,0.6 miles from downtown,One-Bedroom Apartment,N/A,$232
2025-09-21,booking.com,2,2025-10-03,2025-10-06,DT Townhome 1BR steps to transit,Toronto,N/A,N/A,N/A,N/A,N/A,3.2 miles from downtown,Double Room,N/A,$98
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Toronto Central Stay Living Bloor,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,0.4 miles from downtown,Triple Room with View,N/A,$122
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Tom home,Toronto,N/A,N/A,N/A,N/A,N/A,5 miles from downtown,Double Room with Shared Toilet,N/A,$60
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Queen Nest Hotel,"Downtown Toronto, Toronto",N/A,N/A,N/A,N/A,N/A,1.3 miles from downtown,N/A,N/A,$84
2025-09-21,booking.com,2,2025-10-03,2025-10-06,Park Motel,"Scarborough, Toronto",N/A,N/A,N/A,N/A,N/A,9.2 miles from downtown,Queen Room - Non-Smoking,N/A,$206
