Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"Toronto Downtown Core Two Bedroom Condo with CN Tower View, Free Parking","Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with City View,0.6 miles from downtown,,$225,,,,,,,,,,,,,,,,,,1881,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,The Broadview Hotel,Toronto,King Room,1.7 miles from downtown,Free airport taxi,$411,,,,,,,,,,,,,,,,,,1882,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Superior 1Bedroom&DEN Condo with Balcony,"Downtown Toronto, Toronto",One-Bedroom Apartment with Lake View,1.6 miles from downtown,Late Escape Deal,$188,,,,,,,,,,,,,,,,,,1883,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Bedroom in Corso Italia Neighborhood,Toronto,Apartment,4.1 miles from downtown,,$117,,,,,,,,,,,,,,,,,,1884,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Full Privacy Apartment with Free Parkrings,Toronto,Apartment,5.3 miles from downtown,,$225,,,,,,,,,,,,,,,,,,1885,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Downtown Gem by the Subway,"The Village, Toronto (The Village)",Two-Bedroom Apartment,1 miles from downtown,,$200,,,,,,,,,,,,,,,,,,1886,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Hyatt Regency Toronto,"Entertainment District, Toronto (Entertainment District)",Double Room with Two Double Beds,0.6 miles from downtown,,$369,,,,,,,,,,,,,,,,,,1887,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Unbeatable Lake View 1bd & den in Downtown Toronto,"Downtown Toronto, Toronto",One-Bedroom Apartment,1.1 miles from downtown,Late Escape Deal,$174,,,,,,,,,,,,,,,,,,1888,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Luxury Spacious 3 Bedrooms Trinity Bellwoods,Toronto,Apartment,2.2 miles from downtown,Free airport taxi,$278,,,,,,,,,,,,,,,,,,1889,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Lum The Queen,Toronto,Suite with Garden View,1.7 miles from downtown,,$201,,,,,,,,,,,,,,,,,,1890,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Hampton Inn & Suites by Hilton Toronto Downtown,"The Village, Toronto (The Village)",Queen Room wih Two Queen Beds,0.7 miles from downtown,,$263,,,,,,,,,,,,,,,,,,1891,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Elegant Waterfront Esc Modern Condo in Toronto,"Downtown Toronto, Toronto",Apartment,1.2 miles from downtown,,$153,,,,,,,,,,,,,,,,,,1892,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Nobu Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,Free airport taxi,$983,,,,,,,,,,,,,,,,,,1893,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Beautiful Townhouse In Toronto,"Scarborough, Toronto",Four-Bedroom Apartment,6.6 miles from downtown,,$155,,,,,,,,,,,,,,,,,,1894,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"Stunning 7 Br RougeView Home with 2 Kitchens, 5 Bathrooms, Amazing Backyard & 8-Car Parking","Scarborough, Toronto",Vacation Home,15.3 miles from downtown,Free airport taxi,$516,,,,,,,,,,,,,,,,,,1895,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Tom home,Toronto,Double Room with Shared Toilet,5 miles from downtown,,$59,,,,,,,,,,,,,,,,,,1896,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Carlton House,"Cabbagetown, Toronto (Cabbagetown)",King Room,1.3 miles from downtown,,$123,,,,,,,,,,,,,,,,,,1897,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Mins from Toronto Downtown UFT Exhibition Place,Toronto,Two-Bedroom Apartment,2.9 miles from downtown,,$257,,,,,,,,,,,,,,,,,,1898,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,"CN Tower View with Free Parking, Pool, Gym, Free Skating, and More","Downtown Toronto, Toronto",One-Bedroom Apartment,1.5 miles from downtown,,$239,,,,,,,,,,,,,,,,,,1899,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,High Rise 2BR Contemporary Condo w City Views next to Eaton Centre,"Downtown Toronto, Toronto (Yonge - Dundas)",Suite,0.2 miles from downtown,,$180,,,,,,,,,,,,,,,,,,1900,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Private Rooms in House in North York Shared Kitchen,"North York, Toronto",Double Room with Shared Bathroom,10.4 miles from downtown,,$60,,,,,,,,,,,,,,,,,,1901,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1 miles from downtown,Free airport taxi,$250,,,,,,,,,,,,,,,,,,1902,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Bright Queen Room with Shared Bathroom near Downsview Park Subway York University and Yorkdale Mall,"North York, Toronto",Double Room with Shared Bathroom,7.4 miles from downtown,,$64,,,,,,,,,,,,,,,,,,1903,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Toronto Marriott City Centre Hotel,"Entertainment District, Toronto (Entertainment District)","Guest room, 1 Queen",0.8 miles from downtown,,$580,,,,,,,,,,,,,,,,,,1904,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Modern Oasis Stylish 2BR Condo Near Attractions,"Entertainment District, Toronto (Entertainment District)",Apartment,0.3 miles from downtown,,$193,,,,,,,,,,,,,,,,,,1905,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,The Roland Inviting 2BR Basement Suite in Downtown Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Suite,1.3 miles from downtown,,$170,,,,,,,,,,,,,,,,,,1906,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Etobicoke Townhouse Minutes Away from Waterfront,"Etobicoke, Toronto",Two-Bedroom Apartment with Terrace,8.6 miles from downtown,,$166,,,,,,,,,,,,,,,,,,1907,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
2025-09-29,booking.com,2.0,2025-10-15,2025-10-17,Two Story Loft w 2 beds close to Lakeshore,"Downtown Toronto, Toronto",Apartment,1.7 miles from downtown,,$179,,,,,,,,,,,,,,,,,,1908,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,1,1
