Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,price_usd,MEAN_TEMPERATURE,MIN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW,SNOW_ON_GROUND,SPEED_MAX_GUST,MAX_REL_HUMIDITY,hotel_index,events_total_score,events_max_score,events_avg_score,events_count,events_earliest_day,events_latest_day,events_avg_day,events_primary_segment,events_span_days,events_density,has_major_event,has_multiple_events,price_cad,length_of_stay,is_holiday,district,latitude,longitude,is_weekend,week_of_year,booking_lead_time,room_category
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Sandman Signature Toronto Airport Hotel,"Etobicoke, Toronto","Standard Room, 2 Queen Beds",10.7,184.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3184,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,248.4,2,False,Airport Area,43.6777,-79.6248,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Sheraton Centre Toronto Hotel,"Downtown Toronto, Toronto (Queen West)","Guest room, 2 Queen beds",0.1,393.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3185,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,530.55,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Executive Hotel Cosmopolitan Toronto,"Old Town Toronto, Toronto (Old Town Toronto)",Jr 1 Bedroom,0.3,286.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3186,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,386.1,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Holiday Inn Toronto International Airport by IHG,"Etobicoke, Toronto (Northeast Mississauga)",Standard Room with Two Queen Beds,11.2,167.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3187,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,225.45,2,False,Airport Area,43.6777,-79.6248,False,42,12,Family Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,"Hotel X Toronto, a Destination by Hyatt Hotel",Toronto,King Room,2.0,346.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3188,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,467.1,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Regis Suites - Downtown Toronto - CN Tower & Rogers Centre,"Downtown Toronto, Toronto",Two-Bedroom Apartment,0.9,250.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3189,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,337.5,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Two-Bedroom Apartment
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Embassy Suites By Hilton Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)",Two-Room King Suite,11.0,147.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3190,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,198.45,2,False,Airport Area,43.6777,-79.6248,False,42,12,Suite
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Fairmont Royal York Hotel,"Financial District, Toronto (Entertainment District)",Queen Room,0.4,482.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3191,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,650.7,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,The Novotel Toronto Centre,"Old Town Toronto, Toronto (Old Town Toronto)",Superior with Two Queen Beds,0.5,519.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3192,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,700.65,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Deluxe Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Best Western Plus Travel Hotel Toronto Airport,Toronto,Queen Room,10.9,121.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3193,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,163.35,2,False,Airport Area,43.6777,-79.6248,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,InterContinental Toronto Centre by IHG,"Entertainment District, Toronto (Entertainment District)",Classic Room,0.5,493.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3194,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,665.55,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Hilton Toronto,"Financial District, Toronto (Financial District)",Junior King Suite,0.2,445.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3195,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,600.75,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Junior Suite
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Gladstone House,"West Queen West, Toronto (West Queen West)",Studio Queen,2.3,314.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3196,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,423.9,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Studio
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,scarborough home,"Scarborough, Toronto",Double Room,11.4,1574.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3197,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,2124.9,2,False,Scarborough,43.7764,-79.2318,False,42,12,Standard Double
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,SoHo Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Premier Luxury King Room,0.7,408.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3198,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,550.8,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Holiday Inn Express Toronto Downtown by IHG,"Old Town Toronto, Toronto (Old Town Toronto)",Standard King Room,0.5,443.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3199,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,598.05,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Crowne Plaza Toronto Airport by IHG,"Etobicoke, Toronto",Standard Queen Room with Roll-In Shower - Disability Access,10.5,166.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3200,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,224.1,2,False,Airport Area,43.6777,-79.6248,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Toronto Midtown Home Suites,Toronto,Queen Room,3.6,96.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3201,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,129.6,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Standard Queen
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,The Parkdale Hostellerie,Toronto,Queen Room with Shared Bathroom,2.6,66.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3202,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,89.1,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Economy Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Holiday Inn Toronto Airport East by IHG,"Etobicoke, Toronto",Standard Queen Room with Two Queen Beds,9.9,144.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3203,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,194.4,2,False,Airport Area,43.6777,-79.6248,False,42,12,Family Room
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,"Doubletree by Hilton Toronto Airport, ON","Etobicoke, Toronto (Northeast Mississauga)",King Room with Airport View,11.0,180.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3204,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,243.0,2,False,Airport Area,43.6777,-79.6248,False,42,12,Standard King
2025-10-03,booking.com,2.0,2025-10-15,2025-10-17,Breezy Lake And City Views - One Free Underground Parking,"Downtown Toronto, Toronto",Two-Bedroom Apartment,1.1,297.0,10.5,5.8,15.2,66.2,0.0,0.0,45.0,85.0,3205,140.55,11.2,3.9,36,0,1,0.5,Music,1,18.0,True,True,400.95,2,False,Yonge - Dundas,43.6532,-79.3832,False,42,12,Two-Bedroom Apartment
