Date,Source,Number of People,Check-in Date,Check-out Date,Hotel name,Address,Room Type,Distance from attraction,Deal Info,price,Review,name,score,Review Score,Number of Reviews,Rating,Star Rating,Distance from Attraction,Location Score
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Le Germain Hotel Toronto,"Entertainment District, Toronto (Entertainment District)",Deluxe King Room,0.6 miles from downtown,Free airport taxi,$294,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Toronto Travellers Home,"Kensington Market, Toronto (Kensington Market)",,0.9 miles from downtown,,$109,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"The Westin Harbour Castle, Toronto","The Harbourfront, Toronto (The Harbourfront)","Guest room, 1 King, Lake view",0.8 miles from downtown,,$238,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Kimpton Saint George Hotel by IHG,"The Annex, Toronto (The Annex)",Premium King Room - High Floor,1.4 miles from downtown,,$273,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Stay Inn Hotel Toronto,"Etobicoke, Toronto",Business King Room - Fully Renovated 2021,8.6 miles from downtown,,$156,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Dragon Gate Inn,"Downtown Toronto, Toronto",Superior Studio (2 Adults),1.3 miles from downtown,,$123,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,1 Hotel Toronto,"Fashion District, Toronto (Fashion District)",Studio King,1.2 miles from downtown,Free airport taxi,$353,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Courtyard by Marriott Toronto Downtown,"The Village, Toronto (The Village)",King Room with City View,0.8 miles from downtown,,$236,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Westin Toronto Airport,"Etobicoke, Toronto (Northeast Mississauga)","Traditional, Guest room, 1 King",11.1 miles from downtown,,$133,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Super 8 by Wyndham Toronto East ON,"Scarborough, Toronto",Queen Room - Smoking,9.7 miles from downtown,,$92,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Casa St Clair Hotel 1BR Basement Suite with Private Patio,Toronto,Suite,3.1 miles from downtown,Late Escape Deal,$123,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Designer One Bedroom Suite - Entertainment District Toronto,"Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.4 miles from downtown,Free airport taxi,$250,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Rex Hotel Jazz & Blues Bar,"Downtown Toronto, Toronto (Queen West)",Standard Room with Double Bed and Private Bathroom,0.3 miles from downtown,,$145,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Stylish Cozy Studio Condo Downtown,"The Village, Toronto (The Village)",Apartment,0.5 miles from downtown,,$169,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Hotel Victoria,"Financial District, Toronto (Financial District)",Standard Queen Room,0.3 miles from downtown,Free airport taxi,$200,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Pantages Hotel Toronto Centre,"Yonge - Dundas, Toronto (Yonge - Dundas)",Deluxe King Room,0.2 miles from downtown,Free airport taxi,$196,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,"The Ellios Suites - In Downtown Toronto, Opposite CN Tower & Rogers Centre","Entertainment District, Toronto (Entertainment District)",One-Bedroom Apartment,0.7 miles from downtown,Free airport taxi,$250,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Modern Suite in Etobicoke - Near Airport & Downtown!,"Etobicoke, Toronto",One-Bedroom Apartment,7.2 miles from downtown,,$129,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Residence Inn by Marriott Toronto Airport,"Etobicoke, Toronto",King or Queen Suite with Sofa Bed,10.6 miles from downtown,,$178,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The One,"Entertainment District, Toronto (Entertainment District)",Deluxe One-Bedroom Apartment,0.7 miles from downtown,,$174,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Sonder by Marriott Bonvoy Artesa Apartments West Queen West,Toronto,One-Bedroom Apartment with Double Bed and Balcony,2.4 miles from downtown,,$204,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,freed Suites - Downtown Toronto,"Entertainment District, Toronto (Entertainment District)",Two-Bedroom Apartment with Balcony,0.4 miles from downtown,Free airport taxi,$334,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Omni King Edward Hotel,"Old Town Toronto, Toronto (Old Town Toronto)",Deluxe Room - 1 Queen Bed,0.3 miles from downtown,Free airport taxi,$241,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Madison Manor Boutique Hotel,"The Annex, Toronto (The Annex)",Partner offer option,1.5 miles from downtown,Free airport taxi,$190,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,The Westlake,"Etobicoke, Toronto",Queen Suite,7 miles from downtown,Free airport taxi,$205,,,,,,,,,
2025-10-02,booking.com,2.0,2025-10-10,2025-10-13,Park Hyatt Toronto,"The Annex, Toronto (The Annex)",King Room,1.4 miles from downtown,,$538,,,,,,,,,
